30 435
1 1 4
1 2 4
1 3 6
1 4 17
1 5 25
1 6 3
1 7 18
1 8 4
1 9 29
1 10 26
1 11 7
1 12 25
1 13 9
1 14 7
1 15 23
1 16 21
1 17 25
1 18 24
1 19 19
1 20 30
1 21 16
1 22 20
1 23 3
1 24 18
1 25 28
1 26 22
1 27 14
1 28 5
1 29 25
1 30 1
2 2 28
2 3 20
2 4 25
2 5 10
2 6 24
2 7 19
2 8 19
2 9 4
2 10 1
2 11 22
2 12 18
2 13 22
2 14 7
2 15 29
2 16 6
2 17 5
2 18 18
2 19 26
2 20 14
2 21 22
2 22 27
2 23 11
2 24 30
2 25 17
2 26 4
2 27 14
2 28 27
2 29 6
2 30 21
3 3 3
3 4 30
3 5 8
3 6 9
3 7 29
3 8 10
3 9 4
3 10 14
3 11 20
3 12 26
3 13 25
3 14 5
3 15 25
3 16 21
3 17 5
3 18 17
3 19 5
3 20 20
3 21 1
3 22 4
3 23 10
3 24 2
3 25 14
3 26 16
3 27 22
3 28 6
3 29 2
3 30 15
4 4 23
4 5 30
4 6 2
4 7 19
4 8 18
4 9 24
4 10 9
4 11 1
4 12 4
4 13 7
4 14 27
4 15 12
4 16 24
4 17 13
4 18 13
4 19 16
4 20 17
4 21 12
4 22 21
4 23 24
4 24 2
4 25 28
4 26 21
4 27 3
4 28 13
4 29 24
4 30 3
5 5 5
5 6 10
5 7 11
5 8 13
5 9 23
5 10 5
5 11 24
5 12 5
5 13 7
5 14 27
5 15 12
5 16 18
5 17 21
5 18 17
5 19 29
5 20 8
5 21 12
5 22 29
5 23 4
5 24 13
5 25 1
5 26 10
5 27 5
5 28 8
5 29 22
5 30 21
6 6 20
6 7 29
6 8 16
6 9 21
6 10 21
6 11 11
6 12 10
6 13 10
6 14 28
6 15 21
6 16 15
6 17 21
6 18 20
6 19 17
6 20 6
6 21 13
6 22 8
6 23 10
6 24 7
6 25 6
6 26 28
6 27 6
6 28 11
6 29 14
6 30 15
7 7 4
7 8 16
7 9 27
7 10 20
7 11 28
7 12 7
7 13 9
7 14 22
7 15 22
7 16 28
7 17 4
7 18 29
7 19 8
7 20 11
7 21 15
7 22 1
7 23 22
7 24 11
7 25 1
7 26 26
7 27 11
7 28 29
7 29 16
7 30 5
8 8 8
8 9 27
8 10 6
8 11 25
8 12 3
8 13 26
8 14 2
8 15 24
8 16 2
8 17 2
8 18 21
8 19 4
8 20 4
8 21 12
8 22 19
8 23 11
8 24 30
8 25 29
8 26 21
8 27 6
8 28 4
8 29 20
8 30 2
9 9 16
9 10 18
9 11 5
9 12 26
9 13 22
9 14 19
9 15 2
9 16 22
9 17 24
9 18 9
9 19 26
9 20 13
9 21 27
9 22 11
9 23 24
9 24 5
9 25 8
9 26 1
9 27 20
9 28 20
9 29 26
9 30 15
10 10 22
10 11 26
10 12 22
10 13 24
10 14 25
10 15 3
10 16 3
10 17 14
10 18 22
10 19 23
10 20 11
10 21 29
10 22 20
10 23 20
10 24 14
10 25 29
10 26 20
10 27 12
10 28 14
10 29 29
10 30 3
11 11 9
11 12 14
11 13 10
11 14 1
11 15 23
11 16 23
11 17 11
11 18 30
11 19 9
11 20 23
11 21 15
11 22 5
11 23 23
11 24 26
11 25 10
11 26 26
11 27 12
11 28 5
11 29 20
11 30 20
12 12 11
12 13 7
12 14 13
12 15 5
12 16 12
12 17 5
12 18 7
12 19 19
12 20 10
12 21 28
12 22 3
12 23 16
12 24 5
12 25 25
12 26 6
12 27 2
12 28 14
12 29 28
12 30 10
13 13 15
13 14 19
13 15 8
13 16 12
13 17 23
13 18 10
13 19 7
13 20 22
13 21 18
13 22 17
13 23 18
13 24 30
13 25 26
13 26 18
13 27 4
13 28 22
13 29 18
13 30 1
14 14 8
14 15 2
14 16 6
14 17 13
14 18 1
14 19 23
14 20 24
14 21 15
14 22 6
14 23 20
14 24 9
14 25 6
14 26 28
14 27 2
14 28 11
14 29 17
14 30 4
15 15 20
15 16 25
15 17 3
15 18 17
15 19 9
15 20 20
15 21 16
15 22 19
15 23 2
15 24 8
15 25 24
15 26 18
15 27 20
15 28 26
15 29 18
15 30 22
16 16 4
16 17 13
16 18 23
16 19 24
16 20 28
16 21 2
16 22 22
16 23 9
16 24 19
16 25 18
16 26 9
16 27 27
16 28 25
16 29 14
16 30 22
17 17 1
17 18 6
17 19 17
17 20 16
17 21 21
17 22 26
17 23 27
17 24 22
17 25 13
17 26 26
17 27 9
17 28 21
17 29 29
17 30 3
18 18 7
18 19 20
18 20 2
18 21 6
18 22 17
18 23 15
18 24 23
18 25 5
18 26 12
18 27 16
18 28 22
18 29 10
18 30 11
19 19 19
19 20 27
19 21 4
19 22 29
19 23 10
19 24 12
19 25 28
19 26 17
19 27 1
19 28 29
19 29 8
19 30 16
20 20 14
20 21 7
20 22 16
20 23 19
20 24 30
20 25 16
20 26 20
20 27 18
20 28 24
20 29 30
20 30 21
21 21 11
21 22 10
21 23 16
21 24 29
21 25 18
21 26 3
21 27 20
21 28 23
21 29 19
21 30 16
22 22 1
22 23 8
22 24 21
22 25 1
22 26 4
22 27 7
22 28 14
22 29 20
22 30 14
23 23 15
23 24 20
23 25 27
23 26 11
23 27 14
23 28 18
23 29 28
23 30 6
24 24 6
24 25 10
24 26 6
24 27 14
24 28 24
24 29 14
24 30 7
25 25 22
25 26 12
25 27 25
25 28 24
25 29 11
25 30 1
26 26 20
26 27 16
26 28 27
26 29 14
26 30 9
27 27 1
27 28 20
27 29 27
27 30 21
28 28 24
28 29 25
28 30 24
29 29 11
29 30 14
30 30 4

