18 78
13 2 73
5 17 78
4 6 47
8 7 61
10 16 85
17 4 96
4 8 88
11 9 4
2 3 13
10 11 79
16 8 23
17 18 65
7 13 54
7 16 72
13 4 17
14 12 40
9 14 24
9 17 92
6 3 89
17 8 78
15 6 20
12 17 11
12 8 22
3 14 83
16 13 13
9 7 72
11 15 37
2 10 41
8 14 2
5 9 31
16 3 63
10 18 59
2 15 36
17 6 85
3 4 68
15 8 71
8 11 6
17 7 1
8 3 26
15 4 12
10 12 84
11 12 71
16 14 12
8 9 73
5 10 50
15 9 42
12 13 49
15 3 11
12 4 17
2 16 79
9 10 20
14 13 25
15 14 64
5 15 77
6 1 80
5 13 9
4 9 48
18 9 4
5 12 6
17 11 68
1 12 62
1 13 71
2 8 3
18 15 32
11 13 5
7 14 58
6 18 94
6 8 79
1 11 44
13 15 84
16 12 80
14 6 86
5 11 96
7 10 63
3 18 1
11 3 17
18 14 36
8 10 6

